index,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
917,465905,Female,No,32,Yes,Artist,9.0,Low,1.0,Cat_6,A
3398,462903,Male,Yes,72,Yes,Entertainment,,Average,2.0,Cat_6,B
2045,467901,Female,No,33,Yes,Entertainment,1.0,Low,4.0,Cat_6,B
8060,463613,Female,Yes,48,Yes,Artist,0.0,Average,6.0,Cat_6,A
4604,459859,Female,Yes,28,No,Doctor,9.0,Low,1.0,Cat_7,A
5158,465742,Female,Yes,45,Yes,Artist,3.0,Low,3.0,Cat_6,C
6776,463509,Male,No,43,No,Artist,0.0,Low,1.0,Cat_3,D
3736,462461,Male,No,28,Yes,Doctor,1.0,Low,3.0,Cat_6,D
6511,466472,Male,No,38,Yes,Doctor,4.0,Low,1.0,Cat_2,B
2070,462208,Female,Yes,33,No,Engineer,7.0,Average,5.0,Cat_4,B
229,459429,Female,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6,D
5531,462236,Male,No,35,Yes,Entertainment,13.0,Low,2.0,Cat_4,C
7429,465665,Female,Yes,83,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
3961,463526,Male,No,41,Yes,Doctor,0.0,Low,1.0,Cat_6,A
1460,460859,Male,Yes,50,Yes,Entertainment,,Low,4.0,Cat_6,D
7681,467951,Male,No,31,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
6392,464688,Male,Yes,28,Yes,Doctor,0.0,Low,9.0,Cat_4,D
1536,464446,Female,Yes,50,Yes,Engineer,0.0,Low,,Cat_6,B
7329,465460,Male,No,49,Yes,Artist,0.0,Low,1.0,Cat_6,B
6096,460703,Female,Yes,30,Yes,Engineer,8.0,Average,5.0,Cat_4,D
1490,465074,Male,No,25,Yes,Artist,1.0,Low,4.0,Cat_6,A
4063,467314,Male,Yes,43,No,Artist,0.0,Average,2.0,Cat_6,C
4829,466158,Female,Yes,47,Yes,Engineer,0.0,Low,4.0,Cat_6,B
864,464565,Male,No,30,Yes,Marketing,12.0,Low,4.0,Cat_6,D
2713,463081,Female,Yes,51,Yes,Artist,0.0,Low,1.0,Cat_6,B
2196,466344,Male,No,43,Yes,Entertainment,0.0,Low,2.0,Cat_2,A
4382,466949,Male,Yes,39,No,Executive,12.0,High,7.0,Cat_6,B
2752,463442,Male,Yes,42,Yes,Executive,1.0,Low,2.0,Cat_6,D
6200,463355,Female,Yes,51,Yes,Artist,6.0,Average,3.0,Cat_6,C
5005,466328,Male,Yes,49,Yes,Artist,0.0,Low,3.0,Cat_3,C
1382,465266,Male,Yes,49,Yes,Entertainment,0.0,Average,5.0,Cat_4,B
4340,463406,Male,No,33,No,Marketing,0.0,Low,4.0,Cat_3,C
3623,465220,Male,Yes,61,No,Executive,0.0,High,2.0,Cat_1,B
3429,462495,Male,Yes,84,No,Lawyer,0.0,High,2.0,Cat_6,A
251,466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
1538,467167,Male,Yes,73,Yes,Artist,1.0,Average,,Cat_3,C
3452,465139,Male,Yes,40,No,Executive,9.0,Average,2.0,Cat_6,D
7166,462938,Female,No,50,Yes,Artist,6.0,Low,1.0,Cat_6,B
253,467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
1637,463325,Male,Yes,22,No,Doctor,1.0,Low,4.0,Cat_6,A
1544,461921,Female,No,41,Yes,Artist,0.0,Low,1.0,Cat_6,A
138,463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
7083,467469,Male,Yes,43,No,Entertainment,,Average,3.0,Cat_4,D
3985,459858,Female,No,31,No,Healthcare,8.0,Low,4.0,Cat_6,D
1180,464997,Male,Yes,43,Yes,Artist,5.0,Average,2.0,Cat_6,B
4044,461415,Male,No,48,Yes,Entertainment,0.0,Low,3.0,Cat_6,A
1375,463492,Male,No,22,No,Healthcare,,Low,4.0,Cat_6,D
1781,462890,Female,No,25,Yes,Marketing,12.0,Low,1.0,Cat_6,D
