,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
1,462643,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4,A
2,466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B
3,461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
4,462669,Female,Yes,40,Yes,Entertainment,,High,6.0,Cat_6,A
10,464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A
13,459573,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,A
14,460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B
17,461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B
18,466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
20,466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
22,465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
23,459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B
24,461021,Female,,58,No,Executive,1.0,Average,3.0,Cat_3,B
26,467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A
28,465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
31,462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A
38,465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
40,462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B
42,464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
44,466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
45,463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
46,465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
47,462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,A
49,464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
50,462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
52,461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
54,464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
55,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
63,464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
64,463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
65,461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
66,464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
67,464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
68,465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
69,467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,A
71,460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
72,460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
77,463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A
82,466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A
83,460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
84,462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A
90,467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
94,467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
101,466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B
102,462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,A
103,463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,A
104,464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
110,459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,Cat_4,A
111,464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
112,467758,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6,B
115,461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
119,462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A
121,461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
122,464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
125,464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A
126,466295,Female,Yes,42,No,Engineer,0.0,Low,,Cat_6,A
128,467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A
130,465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A
133,459478,Male,Yes,46,Yes,Artist,,Low,1.0,Cat_6,A
134,460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
135,459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A
136,459390,Female,No,41,No,Artist,,Low,2.0,Cat_6,B
139,462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
140,459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A
143,465656,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B
144,465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
146,464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A
147,461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
150,464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A
151,467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A
153,460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
158,466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
162,462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A
168,465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
170,459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
172,459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
173,464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
179,463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A
181,462594,Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4,B
182,462206,Female,No,29,Yes,Artist,,Low,1.0,Cat_4,B
184,467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
186,459576,Female,Yes,85,No,Lawyer,,Low,,,A
187,467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A
189,460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
190,459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
195,466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A
196,463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A
197,465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B
198,459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A
199,467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
203,460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A
204,459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
208,461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B
209,464761,Female,Yes,50,No,Engineer,,Average,4.0,Cat_2,B
210,466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B
211,459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B
217,462691,Male,Yes,25,No,Doctor,,Average,2.0,Cat_4,B
218,462934,Male,Yes,56,No,Executive,,High,2.0,Cat_6,A
219,465837,Male,No,62,Yes,,0.0,Low,1.0,Cat_6,A
220,464613,Female,No,35,,Artist,0.0,Low,3.0,Cat_6,B
221,467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A
222,463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A
225,461825,Female,No,56,No,Engineer,,Low,1.0,Cat_6,A
226,467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
227,465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
232,462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
234,460448,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A
236,462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B
238,459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B
242,465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A
245,461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
247,460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B
248,464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A
249,467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B
250,460738,Female,No,49,No,Engineer,1.0,Low,,Cat_7,A
251,466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
252,459488,Male,Yes,47,No,Artist,,Average,4.0,Cat_6,A
254,465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
