,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
1,462643,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4,A
4,462669,Female,Yes,40,Yes,Entertainment,,High,6.0,Cat_6,A
5,461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C
6,460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
9,465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C
10,464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A
13,459573,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,A
15,460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C
19,464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C
20,466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
22,465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
25,465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C
26,467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A
27,459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
29,461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C
30,463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C
31,462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A
38,465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
39,467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,C
42,464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
43,466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
44,466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
45,463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
47,462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,A
49,464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
51,467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
52,461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
53,462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
54,464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
58,465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
60,461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
61,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
63,464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
64,463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
65,461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
66,464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
67,464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
69,467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,A
71,460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
74,463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
