,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
2,466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B
3,461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
5,461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C
6,460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
9,465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C
14,460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B
15,460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C
17,461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B
18,466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
19,464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C
23,459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B
24,461021,Female,,58,No,Executive,1.0,Average,3.0,Cat_3,B
25,465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C
27,459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
28,465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
29,461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C
30,463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C
39,467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,C
40,462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B
43,466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
46,465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
50,462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
51,467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
53,462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
55,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
58,465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
60,461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
61,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
68,465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
72,460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
74,463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
78,461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
80,465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C
83,460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
86,459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
87,459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C
90,467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
91,460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C
92,465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C
94,467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
97,461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
98,465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
100,464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C
101,466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B
104,464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
112,467758,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6,B
113,462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
115,461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
117,465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
120,464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
121,461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
122,464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
127,461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
129,460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
131,466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C
134,460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
136,459390,Female,No,41,No,Artist,,Low,2.0,Cat_6,B
139,462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
141,459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C
142,459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C
143,465656,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B
144,465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
145,461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
147,461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
149,464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
152,467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
153,460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
154,466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
156,465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C
157,459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C
158,466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
159,459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
