,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D
1,462643,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4,A
4,462669,Female,Yes,40,Yes,Entertainment,,High,6.0,Cat_6,A
7,464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
8,465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D
10,464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A
11,464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D
12,461230,Female,No,19,No,Executive,0.0,Low,,Cat_3,D
13,459573,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,A
16,466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D
20,466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
21,459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D
22,465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
26,467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A
31,462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A
32,462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D
33,467010,Male,No,26,No,Homemaker,9.0,Low,,Cat_6,D
34,459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D
35,467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
36,465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D
37,460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D
38,465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
41,465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D
42,464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
44,466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
45,463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
47,462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,A
48,462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
49,464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
52,461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
54,464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
56,465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
57,462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
59,460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
62,464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
63,464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
64,463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
65,461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
66,464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
67,464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
69,467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,A
70,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
