,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D
2,466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B
3,461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
7,464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
8,465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D
11,464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D
12,461230,Female,No,19,No,Executive,0.0,Low,,Cat_3,D
14,460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B
16,466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D
17,461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B
18,466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
21,459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D
23,459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B
24,461021,Female,,58,No,Executive,1.0,Average,3.0,Cat_3,B
28,465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
32,462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D
33,467010,Male,No,26,No,Homemaker,9.0,Low,,Cat_6,D
34,459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D
35,467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
36,465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D
37,460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D
40,462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B
41,465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D
46,465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
48,462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
50,462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
55,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
56,465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
57,462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
59,460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
62,464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
68,465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
70,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
72,460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
73,460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D
75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
76,463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D
79,466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,D
81,463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D
83,460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
85,461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
88,464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D
89,464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D
90,467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
93,463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D
94,467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
95,463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,D
96,459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D
99,462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D
101,466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B
104,464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
105,462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D
106,462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
107,460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D
108,466466,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3,D
109,460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D
112,467758,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6,B
114,467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
115,461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
116,460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D
118,465827,Male,No,27,No,,2.0,Low,7.0,Cat_4,D
121,461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
122,464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
123,461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
124,462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
132,464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
134,460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
136,459390,Female,No,41,No,Artist,,Low,2.0,Cat_6,B
137,460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
138,463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
139,462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
143,465656,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B
144,465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
147,461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
148,467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
153,460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
155,461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
158,466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
161,460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
167,463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
168,465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
170,459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
172,459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
173,464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
176,464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D
177,461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D
178,467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D
181,462594,Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4,B
182,462206,Female,No,29,Yes,Artist,,Low,1.0,Cat_4,B
188,467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
189,460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
190,459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
192,459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D
197,465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B
199,467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
201,466065,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D
202,464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D
205,466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D
206,461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D
208,461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B
209,464761,Female,Yes,50,No,Engineer,,Average,4.0,Cat_2,B
210,466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B
211,459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B
215,462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D
217,462691,Male,Yes,25,No,Doctor,,Average,2.0,Cat_4,B
220,464613,Female,No,35,,Artist,0.0,Low,3.0,Cat_6,B
223,464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D
224,460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D
226,467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
227,465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
228,464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D
229,459429,Female,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6,D
230,459888,Female,Yes,74,No,Lawyer,,High,2.0,Cat_6,D
231,463467,Female,No,23,No,Healthcare,0.0,Low,4.0,,D
232,462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
233,461282,Male,No,21,No,Healthcare,0.0,Low,4.0,,D
236,462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B
237,467252,Female,No,33,Yes,,0.0,Low,4.0,,D
238,459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B
246,462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D
247,460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B
249,467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B
251,466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
254,465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
262,462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D
264,465809,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B
265,466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
266,467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B
271,462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D
272,464841,Male,,19,No,Entertainment,0.0,High,3.0,Cat_4,D
273,464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
274,464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B
275,467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B
277,462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B
279,466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D
