,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D
5,461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C
6,460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
7,464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
8,465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D
9,465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C
11,464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D
12,461230,Female,No,19,No,Executive,0.0,Low,,Cat_3,D
15,460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C
16,466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D
19,464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C
21,459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D
25,465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C
27,459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
29,461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C
30,463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C
32,462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D
33,467010,Male,No,26,No,Homemaker,9.0,Low,,Cat_6,D
34,459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D
35,467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
36,465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D
37,460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D
39,467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,C
41,465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D
43,466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
48,462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
51,467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
53,462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
56,465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
57,462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
58,465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
59,460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
60,461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
61,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
62,464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
70,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
73,460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D
74,463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
76,463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D
78,461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
79,466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,D
80,465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C
81,463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D
85,461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
86,459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
87,459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C
88,464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D
89,464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D
91,460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C
92,465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C
93,463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D
95,463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,D
96,459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D
97,461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
98,465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
99,462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D
100,464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C
105,462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D
106,462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
107,460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D
108,466466,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3,D
109,460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D
113,462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
114,467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
116,460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D
117,465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
118,465827,Male,No,27,No,,2.0,Low,7.0,Cat_4,D
120,464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
123,461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
124,462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
127,461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
129,460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
131,466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C
132,464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
137,460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
138,463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
141,459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C
142,459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C
145,461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
148,467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
149,464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
152,467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
154,466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
155,461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
156,465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C
157,459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C
159,459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
160,465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C
161,460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
163,463595,Female,No,32,No,Healthcare,1.0,Low,5.0,,C
164,467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C
165,465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C
166,462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C
167,463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
169,464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C
171,465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
174,458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C
175,467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
176,464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D
177,461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D
178,467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D
180,466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C
183,460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
185,460054,Male,Yes,38,Yes,Artist,,Low,2.0,Cat_6,C
188,467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
191,465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C
192,459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D
193,467539,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,C
194,466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
200,459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
201,466065,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D
202,464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D
205,466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D
206,461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D
207,466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C
212,461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C
213,460516,Female,,85,No,Lawyer,0.0,High,1.0,Cat_3,C
214,461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C
215,462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D
216,459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
223,464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D
224,460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D
228,464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D
229,459429,Female,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6,D
230,459888,Female,Yes,74,No,Lawyer,,High,2.0,Cat_6,D
231,463467,Female,No,23,No,Healthcare,0.0,Low,4.0,,D
233,461282,Male,No,21,No,Healthcare,0.0,Low,4.0,,D
235,464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C
237,467252,Female,No,33,Yes,,0.0,Low,4.0,,D
239,463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C
240,466947,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C
241,464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C
243,461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C
244,466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C
246,462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D
253,467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
260,463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C
262,462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D
263,459637,Female,No,33,No,Engineer,,Low,4.0,Cat_6,C
265,466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
267,466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C
270,460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C
271,462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D
272,464841,Male,,19,No,Entertainment,0.0,High,3.0,Cat_4,D
276,465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C
279,466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D
280,463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C
282,467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C
284,466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
286,467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
288,461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D
289,462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C
291,464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D
292,459471,Female,No,32,No,Artist,,Low,8.0,Cat_6,C
293,464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D
294,462331,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D
300,465091,Male,Yes,63,Yes,Entertainment,,Average,3.0,Cat_6,C
301,459532,Female,Yes,27,Yes,Healthcare,,Low,2.0,Cat_6,D
302,466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
303,466597,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D
306,462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C
310,460718,Male,Yes,55,No,Executive,3.0,Low,,Cat_4,D
311,461989,Female,,57,Yes,Engineer,0.0,Average,4.0,Cat_2,C
315,462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
316,467234,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D
319,459768,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
322,467730,Male,No,18,No,Healthcare,,Low,4.0,Cat_6,D
323,459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D
326,465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
328,462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D
329,464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C
331,464087,Female,No,32,No,Engineer,,Low,4.0,Cat_6,C
332,466627,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C
333,467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
336,462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D
339,460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
344,462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C
346,460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
348,467264,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C
349,461646,Female,Yes,60,Yes,Artist,,High,4.0,Cat_6,C
350,463570,Male,Yes,35,Yes,Artist,,Average,4.0,Cat_6,C
354,463719,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,D
356,465175,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,D
359,464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,D
366,466442,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,D
368,463560,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,D
369,460011,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,C
371,465177,Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,D
372,467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
373,465409,Female,No,31,No,Doctor,,Low,4.0,Cat_6,D
374,462842,Male,No,23,No,Doctor,6.0,Low,4.0,Cat_2,D
376,466265,Male,No,30,No,Doctor,1.0,Low,1.0,Cat_3,C
377,459789,Male,Yes,56,No,Artist,1.0,Average,2.0,Cat_6,C
378,464223,Female,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6,C
379,460280,Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6,D
385,466333,Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,C
386,467668,Female,Yes,49,Yes,Artist,,Average,3.0,Cat_7,C
388,460909,Female,No,31,No,Healthcare,,Low,2.0,Cat_6,D
389,467777,Male,No,49,Yes,Doctor,,Low,1.0,Cat_6,C
393,463717,Female,Yes,70,Yes,Artist,1.0,Average,4.0,Cat_6,C
394,463652,Female,No,28,Yes,Artist,,Low,1.0,Cat_6,D
395,462149,Female,Yes,89,No,Lawyer,3.0,High,1.0,Cat_6,D
398,462829,Male,Yes,29,No,Executive,1.0,Average,3.0,Cat_6,D
399,459210,Female,Yes,68,Yes,Artist,1.0,High,2.0,Cat_6,C
400,464659,Female,No,25,No,Engineer,1.0,Low,1.0,Cat_4,D
401,461411,Male,No,29,No,Healthcare,1.0,Low,,Cat_6,D
402,467759,Female,Yes,48,Yes,Doctor,0.0,Low,2.0,Cat_6,C
403,461475,Female,Yes,51,Yes,Doctor,1.0,Average,3.0,Cat_1,C
407,467479,Male,Yes,35,Yes,Executive,1.0,Average,4.0,Cat_6,C
408,466799,Female,No,19,No,Healthcare,2.0,Low,3.0,Cat_6,D
409,466557,Female,No,21,No,Healthcare,7.0,Low,,Cat_6,D
413,465727,Male,No,42,No,Marketing,1.0,Low,5.0,Cat_4,D
417,459907,Female,Yes,39,Yes,Artist,8.0,Average,2.0,Cat_6,C
418,467146,Female,No,27,No,Homemaker,9.0,Low,1.0,Cat_6,D
420,459196,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_4,D
422,464186,Female,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6,C
425,467880,Female,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,C
436,467340,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,C
437,461410,Male,Yes,79,No,,0.0,Average,2.0,,C
440,460532,Female,No,18,No,,0.0,Low,6.0,Cat_6,D
441,463287,Male,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_2,C
442,461392,Male,Yes,71,Yes,Artist,0.0,Average,5.0,Cat_6,C
445,462130,Male,Yes,45,Yes,Artist,9.0,Average,2.0,Cat_6,C
449,462417,Male,No,30,No,Healthcare,4.0,Low,4.0,Cat_6,D
451,464736,Male,No,28,Yes,Engineer,0.0,Low,5.0,Cat_4,D
452,467520,Male,,22,No,Healthcare,,Low,2.0,Cat_6,D
453,459835,Male,Yes,85,No,Lawyer,,Low,1.0,Cat_6,D
454,463855,Female,Yes,40,Yes,Artist,1.0,Average,2.0,Cat_6,C
455,460344,Female,Yes,52,Yes,Artist,14.0,Average,2.0,Cat_6,C
456,466211,Male,Yes,47,Yes,Artist,0.0,Low,,Cat_6,C
457,460139,Male,No,26,No,Artist,6.0,Low,6.0,Cat_5,D
