index,index,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
2162,8008,464894,Male,No,22,No,Healthcare,,Low,5.0,Cat_4,0.0
2692,3598,463954,Male,Yes,22,No,Entertainment,1.0,Average,3.0,Cat_4,0.0
5991,3905,464980,Female,,60,No,Engineer,1.0,High,2.0,Cat_4,1.0
452,4658,463512,Female,No,30,No,Engineer,0.0,Low,3.0,Cat_6,1.0
2544,2287,466473,Female,No,22,No,Healthcare,0.0,Low,3.0,Cat_2,0.0
4929,5246,459424,Male,Yes,50,Yes,Doctor,,Low,3.0,Cat_6,1.0
4752,4695,458985,Male,No,23,No,Healthcare,1.0,Low,4.0,Cat_6,0.0
2942,1898,460042,Male,No,32,Yes,Marketing,8.0,Low,1.0,Cat_6,0.0
541,1830,460786,Male,Yes,71,No,Lawyer,1.0,High,2.0,Cat_6,1.0
5258,7876,463145,Female,No,38,Yes,Homemaker,0.0,Low,4.0,Cat_6,1.0
5547,485,467009,Female,No,29,No,Homemaker,2.0,Low,4.0,Cat_3,0.0
3708,6599,459236,Female,Yes,86,No,Lawyer,0.0,High,2.0,Cat_6,1.0
4541,6106,459645,Male,Yes,43,Yes,Artist,,Average,2.0,Cat_6,1.0
4060,6489,461453,Male,Yes,41,Yes,Artist,8.0,Low,,Cat_6,0.0
4840,4669,461866,Male,No,25,No,Healthcare,0.0,Low,4.0,Cat_6,0.0
3329,459,461286,Female,No,20,No,Doctor,4.0,Low,4.0,Cat_6,0.0
6433,631,461955,Male,No,31,Yes,Healthcare,0.0,Low,4.0,Cat_6,0.0
4819,3301,462189,Female,No,25,No,Marketing,1.0,Low,4.0,Cat_4,1.0
688,2498,462363,Male,Yes,73,No,Executive,0.0,High,2.0,Cat_6,0.0
1181,3047,459417,Male,No,19,No,Healthcare,,Low,,Cat_6,0.0
5096,1928,466917,Male,Yes,43,No,Executive,3.0,Low,,Cat_6,1.0
468,1992,463052,Male,Yes,37,Yes,Marketing,1.0,Low,2.0,Cat_6,0.0
3465,1900,459731,Female,Yes,58,Yes,Artist,0.0,High,3.0,,1.0
1210,2097,465651,Male,No,30,No,Engineer,1.0,Low,4.0,Cat_6,0.0
3992,4243,462317,Female,No,32,No,Entertainment,3.0,Low,6.0,Cat_4,0.0
2402,5944,465388,Female,No,31,Yes,Marketing,0.0,Low,1.0,Cat_6,0.0
391,308,464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,1.0
4850,6262,467348,Female,Yes,33,Yes,Homemaker,,Average,3.0,Cat_6,0.0
1861,4225,460189,Male,No,33,No,Entertainment,14.0,Low,1.0,Cat_6,0.0
643,381,461494,Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,1.0
1606,1117,463592,Female,No,27,Yes,Engineer,11.0,Low,1.0,Cat_6,1.0
4317,2712,462378,Male,Yes,67,No,Artist,1.0,Low,1.0,Cat_6,1.0
2431,458,464126,Female,No,55,Yes,Marketing,3.0,Low,1.0,Cat_6,1.0
1733,3710,459614,Female,No,43,Yes,Artist,1.0,Low,2.0,Cat_6,1.0
