index,index,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
4685,3875,459127,Male,No,43,Yes,Healthcare,1.0,Low,7.0,Cat_6,0.0
4926,1444,467263,Female,No,32,No,Marketing,,Low,1.0,Cat_4,0.0
115,5137,464902,Female,Yes,68,No,Lawyer,0.0,Low,1.0,Cat_4,0.0
5871,1910,466419,Female,Yes,45,Yes,Entertainment,3.0,Average,5.0,Cat_3,1.0
5660,6405,465366,Female,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,1.0
5341,416,461629,Male,Yes,53,Yes,Artist,0.0,Low,3.0,Cat_6,1.0
840,6138,464635,Male,Yes,43,Yes,Healthcare,1.0,High,4.0,Cat_4,1.0
4624,4598,462402,Female,Yes,37,No,Entertainment,1.0,Average,2.0,Cat_4,0.0
2199,70,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,0.0
2739,7801,459373,Male,No,31,Yes,Healthcare,,Low,4.0,Cat_6,0.0
394,7561,459942,Male,No,51,Yes,Artist,5.0,Low,1.0,Cat_6,1.0
5082,4601,466782,Male,No,19,No,,9.0,Low,3.0,Cat_4,0.0
1110,6546,460915,Male,Yes,40,No,Entertainment,5.0,Low,4.0,Cat_3,0.0
600,4900,461084,Female,Yes,38,Yes,Artist,8.0,Average,2.0,Cat_6,1.0
1181,3047,459417,Male,No,19,No,Healthcare,,Low,,Cat_6,0.0
439,2460,467589,Male,No,33,No,Entertainment,1.0,Low,1.0,Cat_6,0.0
1433,5514,462497,Male,No,35,Yes,Artist,1.0,Low,2.0,Cat_6,1.0
5239,4571,462470,Male,Yes,80,Yes,Executive,3.0,Low,1.0,Cat_6,1.0
2904,3656,464334,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,0.0
6202,7477,465596,Male,,36,Yes,Healthcare,8.0,High,2.0,Cat_4,1.0
190,937,462716,Male,No,33,No,Entertainment,6.0,Low,2.0,Cat_4,0.0
3113,1027,463278,Female,Yes,59,Yes,Engineer,0.0,Low,1.0,Cat_3,1.0
1870,6063,460625,Female,No,28,No,Marketing,9.0,Low,2.0,Cat_3,0.0
