index,index,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
2995,4245,464169,Male,,89,No,Lawyer,1.0,High,2.0,Cat_6,0.0
6183,4023,459688,Male,No,52,Yes,Artist,3.0,Low,1.0,Cat_6,1.0
1296,1261,461359,Male,Yes,28,Yes,Healthcare,1.0,Low,4.0,Cat_7,0.0
2785,1892,460250,Male,No,27,Yes,Healthcare,8.0,Low,4.0,Cat_6,0.0
2825,973,463641,Female,No,33,Yes,Marketing,1.0,Low,3.0,Cat_5,1.0
4890,518,465417,Male,Yes,40,Yes,Entertainment,,Average,2.0,Cat_4,1.0
2668,1644,465152,Male,No,43,Yes,Artist,1.0,Low,3.0,Cat_6,1.0
5773,5125,461616,Male,No,28,Yes,Artist,,Low,1.0,Cat_6,1.0
1117,7373,467389,Male,No,43,No,Engineer,1.0,Low,,Cat_6,0.0
2084,4262,463349,Male,No,20,No,Healthcare,5.0,Low,5.0,Cat_2,0.0
4686,1676,465286,Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,1.0
2022,4327,459153,Female,Yes,75,Yes,,0.0,High,2.0,Cat_6,1.0
1057,6094,460245,Female,Yes,52,Yes,Artist,3.0,Low,2.0,,1.0
3820,4853,466259,Male,No,20,No,Healthcare,1.0,Low,2.0,Cat_6,0.0
5239,4571,462470,Male,Yes,80,Yes,Executive,3.0,Low,1.0,Cat_6,1.0
463,2094,462961,Female,Yes,56,No,Engineer,1.0,Average,5.0,Cat_6,1.0
2255,4292,465902,Male,No,25,Yes,Executive,3.0,Low,3.0,Cat_6,0.0
1629,987,459984,Female,Yes,36,Yes,Entertainment,0.0,Average,3.0,Cat_6,1.0
2323,6141,460196,Female,No,38,Yes,Healthcare,8.0,Low,2.0,Cat_6,0.0
6265,7653,465971,Male,Yes,57,Yes,Artist,0.0,Low,1.0,Cat_6,0.0
3615,537,463844,Female,Yes,26,Yes,Engineer,9.0,Low,2.0,Cat_6,1.0
3762,5373,463351,Female,No,22,,Healthcare,3.0,Low,4.0,Cat_5,0.0
1205,1550,460946,Male,No,84,No,Artist,0.0,Low,1.0,Cat_6,0.0
4203,1031,465574,Male,Yes,62,Yes,Artist,1.0,Average,3.0,Cat_3,1.0
2642,6252,461545,Female,Yes,70,Yes,Artist,1.0,Low,3.0,Cat_7,1.0
6429,7302,459775,Male,No,36,Yes,Artist,,Low,2.0,Cat_2,1.0
